epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.652,0.72805,3.41799,1.14191,0.00971,0.50727,0.10572,0.08306,0.48615,3.45969,0.97648,0.0001125,0.0001125,0.0001125
2,261.807,0.62179,2.42151,1.02638,0.01597,0.76573,0.19828,0.15194,0.59019,3.09669,1.04735,0.000235149,0.000235149,0.000235149
3,386.229,0.57441,1.64034,0.9887,0.46747,0.1344,0.23853,0.18068,0.76097,2.71014,1.15992,0.000355322,0.000355322,0.000355322
4,507.348,0.58959,1.32689,1.00006,0.63616,0.26627,0.29178,0.20567,0.79825,2.73477,1.20748,0.000473021,0.000473021,0.000473021
5,632.649,0.58637,1.14556,0.97578,0.61133,0.29016,0.30181,0.21491,0.84805,2.59859,1.22571,0.000588245,0.000588245,0.000588245
6,752.477,0.59086,1.1489,0.98651,0.51827,0.17028,0.20493,0.13096,0.93153,3.00936,1.34613,0.000700994,0.000700994,0.000700994
7,869.686,0.61475,1.10984,0.9987,0.61163,0.29131,0.33894,0.23793,0.81153,2.23748,1.26714,0.000811267,0.000811267,0.000811267
8,987.674,0.59942,1.01765,0.98469,0.59293,0.26843,0.25775,0.16816,0.95928,2.67781,1.47513,0.000919066,0.000919066,0.000919066
9,1103.24,0.59609,1.04883,0.98402,0.64586,0.15737,0.17692,0.11854,0.88544,2.82866,1.37586,0.00102439,0.00102439,0.00102439
10,1219.96,0.56921,0.95725,0.97682,0.61696,0.33779,0.31233,0.22541,0.78086,2.13273,1.25778,0.00112724,0.00112724,0.00112724
11,1338.17,0.58161,0.9844,0.99064,0.69269,0.38843,0.38838,0.27986,0.81315,1.84219,1.30454,0.00112625,0.00112625,0.00112625
12,1454.18,0.55594,0.94029,0.95876,0.67955,0.39184,0.41579,0.29614,0.76616,1.78663,1.2484,0.00111388,0.00111388,0.00111388
13,1568.24,0.54736,0.91893,0.96291,0.74391,0.45391,0.46274,0.33477,0.76782,1.58333,1.2031,0.0011015,0.0011015,0.0011015
14,1687.12,0.5305,0.91592,0.96373,0.62873,0.47432,0.44123,0.33702,0.75386,1.65045,1.20927,0.00108913,0.00108913,0.00108913
15,1800.08,0.52236,0.93989,0.95798,0.74577,0.45164,0.45101,0.34296,0.72978,1.57133,1.19142,0.00107675,0.00107675,0.00107675
